"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS3"
9750;609427;6155320;198712;1,04
9750;609427;6155320;198801;1,084
9750;609427;6155320;198802;1,16
9750;609427;6155320;198803;1,156
9750;609427;6155320;198804;1,162
9750;609427;6155320;198805;1,125
9750;609427;6155320;198806;1,024
9750;609427;6155320;198807;0,799
9750;609427;6155320;198808;0,515
9750;609427;6155320;198809;0,314
9750;609427;6155320;198810;0,35
9750;609427;6155320;198811;0,534
9750;609427;6155320;198812;0,753
9750;609427;6155320;198901;0,896
9750;609427;6155320;198902;0,944
9750;609427;6155320;198903;0,979
9750;609427;6155320;198904;1,011
9750;609427;6155320;198905;1,014
9750;609427;6155320;198906;0,901
9750;609427;6155320;198907;0,661
9750;609427;6155320;198908;0,458
9750;609427;6155320;198909;0,33
9750;609427;6155320;198910;0,303
9750;609427;6155320;198911;0,348
9750;609427;6155320;198912;0,5
9750;609427;6155320;199001;0,684
9750;609427;6155320;199002;0,82
9750;609427;6155320;199003;0,84
9750;609427;6155320;199004;0,834
9750;609427;6155320;199005;0,779
9750;609427;6155320;199006;0,77
9750;609427;6155320;199007;0,629
9750;609427;6155320;199008;0,49
9750;609427;6155320;199009;0,354
9750;609427;6155320;199010;0,434
9750;609427;6155320;199011;0,595
9750;609427;6155320;199012;0,752
9750;609427;6155320;199101;0,891
9750;609427;6155320;199102;0,989
9750;609427;6155320;199103;1,156
9750;609427;6155320;199104;1,181
9750;609427;6155320;199105;1,193
9750;609427;6155320;199106;0,976
9750;609427;6155320;199107;0,715
9750;609427;6155320;199108;0,449
9750;609427;6155320;199109;0,36
9750;609427;6155320;199110;0,4
9750;609427;6155320;199111;0,516
9750;609427;6155320;199112;0,706
9750;609427;6155320;199201;0,885
9750;609427;6155320;199202;1,07
9750;609427;6155320;199203;1,135
9750;609427;6155320;199204;1,117
9750;609427;6155320;199205;0,95
9750;609427;6155320;199206;0,875
9750;609427;6155320;199207;0,776
9750;609427;6155320;199208;0,655
9750;609427;6155320;199209;0,522
9750;609427;6155320;199210;0,649
9750;609427;6155320;199211;0,906
9750;609427;6155320;199212;1,083
9750;609427;6155320;199301;1,06
9750;609427;6155320;199302;0,99
9750;609427;6155320;199303;0,967
9750;609427;6155320;199304;0,964
9750;609427;6155320;199305;1,038
9750;609427;6155320;199306;0,846
9750;609427;6155320;199307;0,622
9750;609427;6155320;199308;0,329
9750;609427;6155320;199309;0,28
9750;609427;6155320;199310;0,429
9750;609427;6155320;199311;0,675
9750;609427;6155320;199312;0,879
9750;609427;6155320;199401;0,938
9750;609427;6155320;199402;0,968
9750;609427;6155320;199403;1,074
9750;609427;6155320;199404;1,115
9750;609427;6155320;199405;0,992
9750;609427;6155320;199406;0,684
9750;609427;6155320;199407;0,427
9750;609427;6155320;199408;0,268
9750;609427;6155320;199409;0,29
9750;609427;6155320;199410;0,502
9750;609427;6155320;199411;0,788
9750;609427;6155320;199412;0,96
9750;609427;6155320;199501;1,031
9750;609427;6155320;199502;1,035
9750;609427;6155320;199503;1,041
9750;609427;6155320;199504;0,868
9750;609427;6155320;199505;0,674
9750;609427;6155320;199506;0,532
9750;609427;6155320;199507;0,43
9750;609427;6155320;199508;0,336
9750;609427;6155320;199509;0,279
9750;609427;6155320;199510;0,307
9750;609427;6155320;199511;0,327
9750;609427;6155320;199512;0,548
9750;609427;6155320;199601;0,89
9750;609427;6155320;199602;1,215
9750;609427;6155320;199603;1,318
9750;609427;6155320;199604;1,255
9750;609427;6155320;199605;1,168
9750;609427;6155320;199606;0,909
9750;609427;6155320;199607;0,609
9750;609427;6155320;199608;0,427
9750;609427;6155320;199609;0,389
9750;609427;6155320;199610;0,432
9750;609427;6155320;199611;0,565
9750;609427;6155320;199612;0,909
9750;609427;6155320;199701;1,197
9750;609427;6155320;199702;1,407
9750;609427;6155320;199703;1,235
9750;609427;6155320;199704;0,974
9750;609427;6155320;199705;0,64
9750;609427;6155320;199706;0,467
9750;609427;6155320;199707;0,43
9750;609427;6155320;199708;0,41
9750;609427;6155320;199709;0,367
9750;609427;6155320;199710;0,293
9750;609427;6155320;199711;0,305
9750;609427;6155320;199712;0,464
9750;609427;6155320;199801;0,728
9750;609427;6155320;199802;0,879
9750;609427;6155320;199803;0,89
9750;609427;6155320;199804;0,793
9750;609427;6155320;199805;0,68
9750;609427;6155320;199806;0,527
9750;609427;6155320;199807;0,36
9750;609427;6155320;199808;0,257
9750;609427;6155320;199809;0,235
9750;609427;6155320;199810;0,383
9750;609427;6155320;199811;0,463
9750;609427;6155320;199812;0,558
9750;609427;6155320;199901;0,57
9750;609427;6155320;199902;0,66
9750;609427;6155320;199903;0,872
9750;609427;6155320;199904;0,995
9750;609427;6155320;199905;1,083
9750;609427;6155320;199906;0,934
9750;609427;6155320;199907;0,73
9750;609427;6155320;199908;0,482
9750;609427;6155320;199909;0,41
9750;609427;6155320;199910;0,459
9750;609427;6155320;199911;0,633
9750;609427;6155320;199912;0,816
9750;609427;6155320;200001;0,987
9750;609427;6155320;200002;1,058
9750;609427;6155320;200003;1,017
9750;609427;6155320;200004;1,007
9750;609427;6155320;200005;0,944
9750;609427;6155320;200006;0,849
9750;609427;6155320;200007;0,595
9750;609427;6155320;200008;0,393
9750;609427;6155320;200009;0,282
9750;609427;6155320;200010;0,361
9750;609427;6155320;200011;0,478
9750;609427;6155320;200012;0,636
9750;609427;6155320;200101;0,857
9750;609427;6155320;200102;1,06
9750;609427;6155320;200103;1,211
9750;609427;6155320;200104;1,147
9750;609427;6155320;200105;1,056
9750;609427;6155320;200106;0,784
9750;609427;6155320;200107;0,567
9750;609427;6155320;200108;0,338
9750;609427;6155320;200109;0,272
9750;609427;6155320;200110;0,25
9750;609427;6155320;200111;0,301
9750;609427;6155320;200112;0,441
9750;609427;6155320;200201;0,605
9750;609427;6155320;200202;0,806
9750;609427;6155320;200203;0,954
9750;609427;6155320;200204;1,082
9750;609427;6155320;200205;1,079
9750;609427;6155320;200206;0,926
9750;609427;6155320;200207;0,659
9750;609427;6155320;200208;0,519
9750;609427;6155320;200209;0,536
9750;609427;6155320;200210;0,608
9750;609427;6155320;200211;0,664
9750;609427;6155320;200212;0,808
9750;609427;6155320;200301;1,007
9750;609427;6155320;200302;1,147
9750;609427;6155320;200303;1,231
9750;609427;6155320;200304;1,197
9750;609427;6155320;200305;1,052
9750;609427;6155320;200306;0,748
9750;609427;6155320;200307;0,481
9750;609427;6155320;200308;0,324
9750;609427;6155320;200309;0,278
9750;609427;6155320;200310;0,352
9750;609427;6155320;200311;0,549
9750;609427;6155320;200312;0,819
